label,rank,feature,weight
110,7,军人,1.307875587860478
110,8,战机,1.220224615421189
110,9,作战,1.1829721402926499
110,10,航母,1.1316961018184237
110,11,战役,1.1050545718538918
110,12,美国,1.090407369848159
110,13,战争,1.0763670667002654
110,14,二战,1.0593712663217996
110,15,子弹,1.0536236977057423
112,1,旅游,2.1856576495811297
112,2,旅行,1.7581075974895448
112,3,三亚,1.5164892323176244
112,4,户外,1.448539393078527
112,5,旅游,1.4243801660026145
112,6,景区,1.4066032001924038
112,7,景区,1.2867970066626668
112,8,景点,1.2272804057362316
112,9,彭州,1.2131312574179318
112,10,出境游,1.1662604447347251
112,11,稻城,1.1166979320579962
112,12,大理,1.114171913679327
112,13,花海,1.0990272904472334
112,14,白花,1.0937529419161887
112,15,酒店,1.078678362889659
113,1,日本,1.4592552675765014
113,2,普京,1.2331429157583973
113,3,总理,1.1596803876834096
113,4,总统,1.1420302553421606
113,5,朴槿惠,1.1398122293471145
113,6,法国,1.1090941540112882
113,7,泰国,1.105794942321366
113,8,美国,1.0998553005871574
113,9,普京,1.006078084937339
113,10,朴槿,0.9998819207984777
113,11,朴槿惠,0.9998819207984777
113,12,槿惠,0.9998819207984777
113,13,伊朗,0.996596034868448
113,14,美国,0.9956395173629184
113,15,朝鲜,0.9907450819459466
114,1,股票,1.6243207519322076
114,2,股票,1.5437182451114417
114,3,A股,1.4913720348644146
114,4,盘 ,1.4183355211369129
114,5,老鼠,1.2367425977738271
114,6,抄底,1.1704895888702855
114,7,上证,1.1555991261829943
114,8,反转,1.1508496314946244
114,9,医药,1.1298308529696215
114,10,股会,1.0740419337393032
114,11,建仓,1.0645437009009002
114,12,谁在,1.0537635448063882
114,13,证券,1.0282904505360388
114,14,股不,1.0238489665314296
114,15,高位,1.011700233296279
115,1,农村,2.4635118183284823
115,2,农民,1.8859710943035992
115,3,村的,1.730272388248595
115,4,农村,1.6451149059405195
115,5,乡村,1.4671550657153871
115,6,扶贫,1.4508113358982573
115,7,养殖,1.3044994539374684
115,8,养猪,1.2960174735202683
115,9,农业,1.2875893693899967
115,10,果树,1.2753646396291487
115,11,小麦,1.2480111923220663
115,12,农民,1.239576486958759
115,13,养猪,1.2375370062315845
115,14,农药,1.2318052026612205
115,15,玉米,1.2134386216463335
116,1,游戏,2.8293095132248984
116,2,dnf,2.1938465679443047
116,3,玩家,1.850146145130945
116,4,手游,1.7607010058662882
116,5,游戏,1.6253598840713157
116,6,手游,1.4787476347331174
116,7,打野,1.3688321490451294
116,8,玩游戏,1.3559488104515767
116,9,炉石,1.2354629277029063
116,10,lol,1.225956800545171
116,11,战队,1.2169804301330969
116,12,玩家,1.1851273103918258
116,13,uzi,1.1359604845528188
116,14,斗鱼,1.1358285263178969
116,15,DNF,1.1282335481512038
